apiName,username,officeName,password,status,testName,email,numberplate,isUnassigned,vehicleType,buildingName,floorNumber,revisit
register,kaushik,TEST_OFFICE,123,201,valid register,kaushik@a.com,,,,,,
register,kaushik,TEST_OFFICE,123,201,valid register,kaushik@b.com,,,,,,
register,kaushik,TEST_OFFICE,123,201,valid register,kaushik@c.com,,,,,,
register,kaushik,TEST_OFFICE,123,409,invalid register,kaushik@a.com,,,,,,
register,kaushik,TEST_OFFICE,123,400,invalid register,kaushik.com,,,,,,
login,,,123,200,valid login,kaushik@a.com,,,,,,
login,,,123,200,valid login,kaushik@b.com,,,,,,
login,,,123,200,valid login,admin@a.com,,,,,,
login,,,1233,401,invalid login,kaushik@a.com,,,,,,
getUsers,,,,200,fetch all users,,,,,,,
updateProfile,kaushik1,,,200,valid profile update,,,,,,,
deleteProfile,,,,200,valid profile delete,,,,,,,
registerVehicle,,,,201,valid register vehicle,,up32df1232,,0,,,
registerVehicle,,,,400,invalid reigster vehicle,,up32df1232,,0,,,
getVehicles,,,,500,get all vehicles,,,,,,,1
deleteVehicle,,,,400,delete vehicle,,up32df1232,,,,,1
parkVehicle,,,,500,valid park vehicle,,up32df1233,,,,,1
parkVehicle,,,,500,invalid park vehicle,,up32df1237,,,,,
getParkings,,,,400,get parkings,,,,,,,
unparkVehicle,,,,404,invalid unpark vehicle,,up32df1233,,,,,
addBuilding,,,,201,valid add building,,,,,advant,,
addBuilding,,,,201,valid add building,,,,,advant1,,
addBuilding,,,,500,invalid add building,,,,,advant,,
getBuildings,,,,200,valid get buildings,,,,,,,
addFloor,,,,201,add floors,,,,,,1,
addFloor,,,,500,invalid add floor,,,,,,1,
getFloors,,,,200,valid get floors,,,,,,1,
getAllSlots,,,,200,valid get slots,,,,,,1,
